source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun
IndicDialogue,Good Newwz,1956816836,28,"आपके परिवार के आरामदायक सफ़र के लिए एक बेहतरीन गाड़ी।
वैसे, यह सब ग्राहकों को समझाना मेरा काम नहीं है मगर
मैंने आपको जब देखा, ईमानदारी से कहूँ तो
आपको किसी और गाड़ी से उतरते हुए मैं सोच भी नहीं सकता।
आप देख सकते हैं।",____ चलो यहाँ से।,आप चलो यहाँ से।,आप
IndicDialogue,Good Newwz,1956816836,33,"आप चलो यहाँ से।
चलो यहाँ से। नहीं चाहिए ये गाड़ी। पापा।
-चल रहे हैं, बेटा। -चलो यहाँ से।
बच्चा रो रहा है। मैं फिर से आता हूँ। हाँ चलो।
सर।","बेटा, ____ भी घर जाओ।","बेटा, तुम भी घर जाओ।",तुम
IndicDialogue,Good Newwz,1956816836,34,"चलो यहाँ से। नहीं चाहिए ये गाड़ी। पापा।
-चल रहे हैं, बेटा। -चलो यहाँ से।
बच्चा रो रहा है। मैं फिर से आता हूँ। हाँ चलो।
सर।
बेटा, तुम भी घर जाओ।",- -____ एक ड्रिंक चाहिए।,- -तुम्हें एक ड्रिंक चाहिए।,तुम्हें
IndicDialogue,Good Newwz,1956816836,56,"माफ़ करना ग्राहक था। हाँ! नहीं!
आज 12 जनवरी है। क्यों?
और 12 जनवरी को हमें क्या करना था?
12 जनवरी को हमें...
मैं ओव्यूलेट कर रही हूँ, वरुण।",मैंने कैलेंडर बनाकर ____ अलमारी पर लगाया था। उस पर साफ़ लिखा है कि,मैंने कैलेंडर बनाकर तुम्हारी अलमारी पर लगाया था। उस पर साफ़ लिखा है कि,तुम्हारी
IndicDialogue,Good Newwz,1956816836,62,"12 जनवरी को हमें बच्चे के लिए कोशिश करनी है।
जान, यहाँ पर बहुत काम था तो
असल में काफ़ी डिलिवरियाँ भी देनी है।
-इनवॉइस तैयार करो। -हाँ, सर।
एक काम करो,",____ अपने ग्राहकों को ही बोल दो कि तुम्हें बच्चा करके दे।,तुम अपने ग्राहकों को ही बोल दो कि तुम्हें बच्चा करके दे।,तुम
IndicDialogue,Good Newwz,1956816836,63,"जान, यहाँ पर बहुत काम था तो
असल में काफ़ी डिलिवरियाँ भी देनी है।
-इनवॉइस तैयार करो। -हाँ, सर।
एक काम करो,
तुम अपने ग्राहकों को ही बोल दो कि तुम्हें बच्चा करके दे।","ये वाली डिलिवरी ना, ____ उनसे करवा लो।","ये वाली डिलिवरी ना, तुम उनसे करवा लो।",तुम
IndicDialogue,Good Newwz,1956816836,65,"-इनवॉइस तैयार करो। -हाँ, सर।
एक काम करो,
तुम अपने ग्राहकों को ही बोल दो कि तुम्हें बच्चा करके दे।
ये वाली डिलिवरी ना, तुम उनसे करवा लो।
ध्यान से सुनो, वरुण।","अगर ____ चाहते हो कि तुम्हारे बच्चे की शक्ल तुमसे मिले,","अगर तुम चाहते हो कि तुम्हारे बच्चे की शक्ल तुमसे मिले,",तुम
IndicDialogue,Good Newwz,1956816836,71,"तो आधे घंंटे में आ जाना।
इसका क्या मतलब है?
दीपू। दीप...
क्या कह रही थी, भाभी?
वो, बस नौटंकी कर रही थी।","-हवाई जहाज़ लाया ____? -हाँ, बाहर ही खड़ा है।","-हवाई जहाज़ लाया तू? -हाँ, बाहर ही खड़ा है।",तू
IndicDialogue,Good Newwz,1956816836,75,"वो, बस नौटंकी कर रही थी।
-हवाई जहाज़ लाया तू? -हाँ, बाहर ही खड़ा है।
बाद में मिलते हैं। अलविदा!
[""अबे यार! जियो मेरी तरह और ख़त्म करो नाटक"" बजता हुआ]
1601 दीपू और वरुण का घर।",बाकी कपड़े कहाँ हैं ____?,बाकी कपड़े कहाँ हैं तुम्हारे?,तुम्हारे
IndicDialogue,Good Newwz,1956816836,77,"बाद में मिलते हैं। अलविदा!
[""अबे यार! जियो मेरी तरह और ख़त्म करो नाटक"" बजता हुआ]
1601 दीपू और वरुण का घर।
बाकी कपड़े कहाँ हैं तुम्हारे?
मुझे गुसलखाने जाना है।",____ शराब पीकर आए हो?,तुम शराब पीकर आए हो?,तुम
IndicDialogue,Good Newwz,1956816836,80,"बाकी कपड़े कहाँ हैं तुम्हारे?
मुझे गुसलखाने जाना है।
तुम शराब पीकर आए हो?
और सिगरेट भी पी।
वो कुछ दोस्त आए थे, तो रूट बीयर पी रहा था।","मुझसे झूठ बोलकर ____ दोस्तों के साथ शराब पी रहे थे, वरुण।","मुझसे झूठ बोलकर तुम दोस्तों के साथ शराब पी रहे थे, वरुण।",तुम
IndicDialogue,Good Newwz,1956816836,81,"मुझे गुसलखाने जाना है।
तुम शराब पीकर आए हो?
और सिगरेट भी पी।
वो कुछ दोस्त आए थे, तो रूट बीयर पी रहा था।
मुझसे झूठ बोलकर तुम दोस्तों के साथ शराब पी रहे थे, वरुण।",जबकि ____ पता है कि हम कल दिल्ली जा रहे हैं।,जबकि तुम्हें पता है कि हम कल दिल्ली जा रहे हैं।,तुम्हें
IndicDialogue,Good Newwz,1956816836,83,"और सिगरेट भी पी।
वो कुछ दोस्त आए थे, तो रूट बीयर पी रहा था।
मुझसे झूठ बोलकर तुम दोस्तों के साथ शराब पी रहे थे, वरुण।
जबकि तुम्हें पता है कि हम कल दिल्ली जा रहे हैं।
आज का दिन हमारे लिए कितना ज़रूरी है।",____ इतने गैर-ज़िम्मेदार कैसे हो सकते हो?,तुम इतने गैर-ज़िम्मेदार कैसे हो सकते हो?,तुम
IndicDialogue,Good Newwz,1956816836,84,"वो कुछ दोस्त आए थे, तो रूट बीयर पी रहा था।
मुझसे झूठ बोलकर तुम दोस्तों के साथ शराब पी रहे थे, वरुण।
जबकि तुम्हें पता है कि हम कल दिल्ली जा रहे हैं।
आज का दिन हमारे लिए कितना ज़रूरी है।
तुम इतने गैर-ज़िम्मेदार कैसे हो सकते हो?",क्या ____ बार-बार बताना पड़ेगा कि शराब और सिगरेट का,क्या तुम्हें बार-बार बताना पड़ेगा कि शराब और सिगरेट का,तुम्हें
IndicDialogue,Good Newwz,1956816836,90,"शुक्राणु गिनती पर क्या असर होता है।
एक कश मारा था।
अगर एक कश मारने से
शुक्राणु की गिनती कम हो जाती है तो लानत है ऐसे शुक्राणु पर।
शुक्राणु की बात नहीं है, वादे की बात है।","____ क्या लगता है, मेरा मन नहीं करता दोस्तों के साथ घूमने-फिरने का?","तुम्हें क्या लगता है, मेरा मन नहीं करता दोस्तों के साथ घूमने-फिरने का?",तुम्हें
IndicDialogue,Good Newwz,1956816836,94,"शुक्राणु की बात नहीं है, वादे की बात है।
तुम्हें क्या लगता है, मेरा मन नहीं करता दोस्तों के साथ घूमने-फिरने का?
पर मुझे पता है कि ज़रूरी क्या है।
थोड़ी सी तो समझदारी दिखाया करो, यार।
तुमने तो बड़ी समझदारी दिखा रखी है।",डॉक्टर ने ____ क्या कहा था कि अपने सोने की आदत का ध्यान रखो।,डॉक्टर ने तुम्हें क्या कहा था कि अपने सोने की आदत का ध्यान रखो।,तुम्हें
IndicDialogue,Good Newwz,1956816836,100,"कल रात को साढ़े तीन बजे तक 'बेबीज़ डे आउट' कौन देख रहा था? मैं?
बड़ी समझदारी दिखाई तुमने!
वो इसलिए क्योंकि रिचा ने बताया था कि प्यारे बच्चे देखने से मिज़ाज अच्छा होता है,
और उसकी वजह से अपने बच्चे का स्वास्थ्य भी अच्छा हो जाता है।
मुझे विश्वास नहीं होता।","____ एक वरिष्ट पत्रकार और वो एक वकील, ऐसी बातें कर रहे हो तुम।","तुम एक वरिष्ट पत्रकार और वो एक वकील, ऐसी बातें कर रहे हो तुम।",तुम
IndicDialogue,Good Newwz,1956816836,102,"वो इसलिए क्योंकि रिचा ने बताया था कि प्यारे बच्चे देखने से मिज़ाज अच्छा होता है,
और उसकी वजह से अपने बच्चे का स्वास्थ्य भी अच्छा हो जाता है।
मुझे विश्वास नहीं होता।
तुम एक वरिष्ट पत्रकार और वो एक वकील, ऐसी बातें कर रहे हो तुम।
ठीक है एक काम करो।",अकेले बैठकर ____ प्यारे बच्चों को घूरती रहो शायद उससे गर्भवती हो जाओ।,अकेले बैठकर तुम प्यारे बच्चों को घूरती रहो शायद उससे गर्भवती हो जाओ।,तुम
IndicDialogue,Good Newwz,1956816836,103,"और उसकी वजह से अपने बच्चे का स्वास्थ्य भी अच्छा हो जाता है।
मुझे विश्वास नहीं होता।
तुम एक वरिष्ट पत्रकार और वो एक वकील, ऐसी बातें कर रहे हो तुम।
ठीक है एक काम करो।
अकेले बैठकर तुम प्यारे बच्चों को घूरती रहो शायद उससे गर्भवती हो जाओ।",____ बच्चा चाहिए कि नहीं?,तुम्हें बच्चा चाहिए कि नहीं?,तुम्हें
IndicDialogue,Good Newwz,1956816836,109,"बिलकुल चाहिए! पर ऐसे नहीं कि
बेडरूम में जाते लगे जैसे सर्जिकल स्ट्राइक के लिए जा रहा हूँ।
इतना तनाव है।
इतने तनाव में वीडियोगेम ठीक से खेला नहीं जाएगा, बच्चा क्या खाक पैदा करूँगा?
अब पेट साफ़ नहीं करना है?","मेरा पेट है, जब इच्छा होगी तब साफ़ करूँगा, ____ इससे क्या?","मेरा पेट है, जब इच्छा होगी तब साफ़ करूँगा, तुम्हें इससे क्या?",तुम्हें
IndicDialogue,Good Newwz,1956816836,119,"मुझे भी माफ़ कर दो।
♪कर चले♪
♪हम फ़िदा, जान ओ तन साथियों♪
चाँद पर जा रही हो?
इससे गर्भवती होने की संभावना बढ़ती है।",संभावना मुझे ____ मानसिक संतुलन खोने की ज़्यादा लग रही है।,संभावना मुझे तुम्हारे मानसिक संतुलन खोने की ज़्यादा लग रही है।,तुम्हारे
IndicDialogue,Good Newwz,1956816836,120,"♪कर चले♪
♪हम फ़िदा, जान ओ तन साथियों♪
चाँद पर जा रही हो?
इससे गर्भवती होने की संभावना बढ़ती है।
संभावना मुझे तुम्हारे मानसिक संतुलन खोने की ज़्यादा लग रही है।",मैं अभी भी ____ बहुत ग़ुस्सा हूँ।,मैं अभी भी तुमसे बहुत ग़ुस्सा हूँ।,तुमसे
IndicDialogue,Good Newwz,1956816836,121,"♪हम फ़िदा, जान ओ तन साथियों♪
चाँद पर जा रही हो?
इससे गर्भवती होने की संभावना बढ़ती है।
संभावना मुझे तुम्हारे मानसिक संतुलन खोने की ज़्यादा लग रही है।
मैं अभी भी तुमसे बहुत ग़ुस्सा हूँ।","मुझसे झूठ बोलकर ____ अपने दोस्तों के साथ कैसे शराब पीने जा सकते हो, वरुण?","मुझसे झूठ बोलकर तुम अपने दोस्तों के साथ कैसे शराब पीने जा सकते हो, वरुण?",तुम
IndicDialogue,Good Newwz,1956816836,124,"संभावना मुझे तुम्हारे मानसिक संतुलन खोने की ज़्यादा लग रही है।
मैं अभी भी तुमसे बहुत ग़ुस्सा हूँ।
मुझसे झूठ बोलकर तुम अपने दोस्तों के साथ कैसे शराब पीने जा सकते हो, वरुण?
थोड़ी देर पहले तुमने मुझसे माफ़ी माँगी थी,
अब फिर शुरू हो गई हो।",माफ़ी तो ____ मुझसे माँगनी चाहिए।,माफ़ी तो तुम्हें मुझसे माँगनी चाहिए।,तुम्हें
IndicDialogue,Good Newwz,1956816836,125,"मैं अभी भी तुमसे बहुत ग़ुस्सा हूँ।
मुझसे झूठ बोलकर तुम अपने दोस्तों के साथ कैसे शराब पीने जा सकते हो, वरुण?
थोड़ी देर पहले तुमने मुझसे माफ़ी माँगी थी,
अब फिर शुरू हो गई हो।
माफ़ी तो तुम्हें मुझसे माँगनी चाहिए।",मैंने तो बस ऐसे ही बोला क्योंकि ____ ग़ुस्सा थे।,मैंने तो बस ऐसे ही बोला क्योंकि तुम ग़ुस्सा थे।,तुम
IndicDialogue,Good Newwz,1956816836,134,"बहुत ही बुरी बात है।
चलो खाना खा लेते हैं उसके बाद हमें फिर करना है।
फिर करना है?
फिर क्या करना है?
क्या किया हमने अभी?","यार दीपू? ____ मुझ पर तरस नहीं आता? मैं अंदर से बिलकुल सूख चुका हूँ, सिर्फ़","यार दीपू? तुम्हें मुझ पर तरस नहीं आता? मैं अंदर से बिलकुल सूख चुका हूँ, सिर्फ़",तुम्हें
IndicDialogue,Good Newwz,1956816836,151,"क्यों?
मैंने कुछ नहीं किया।
मतलब! मैं बस दिखावा कर रहा था।
सिर्फ़ ज़ोर-ज़ोर से चीख रहा था बस।
क्या?",____ लड़के भी दिखावा कर सकते हो?,तुम लड़के भी दिखावा कर सकते हो?,तुम
IndicDialogue,Good Newwz,1956816836,154,"सिर्फ़ ज़ोर-ज़ोर से चीख रहा था बस।
क्या?
तुम लड़के भी दिखावा कर सकते हो?
हाँ, तो इसमें कौनसा विज्ञान छिपा है?
सिर्फ़ टेढ़े-मेढ़े मुँह ही तो बनाने होते हैं।",-बस करो! -____ ना!,-बस करो! -तुम ना!,तुम
IndicDialogue,Good Newwz,1956816836,166,"सोफ़े पर।
गुड न्यूज़
ओ भाईसाहब! थोड़ा और धीरे चलाएँगे? हमें उल्टा जाना है।
अरे, तेज़ चला लो यार!
नहीं तो फ़्लाइट मिस हो जाएगी।",____ हो क्या गया है?,तुम्हें हो क्या गया है?,तुम्हें
IndicDialogue,Good Newwz,1956816836,167,"गुड न्यूज़
ओ भाईसाहब! थोड़ा और धीरे चलाएँगे? हमें उल्टा जाना है।
अरे, तेज़ चला लो यार!
नहीं तो फ़्लाइट मिस हो जाएगी।
तुम्हें हो क्या गया है?",दो साल पहले तक तो ____ बच्चे बिलकुल नहीं चाहिए थे और अब...,दो साल पहले तक तो तुम्हें बच्चे बिलकुल नहीं चाहिए थे और अब...,तुम्हें
IndicDialogue,Good Newwz,1956816836,168,"ओ भाईसाहब! थोड़ा और धीरे चलाएँगे? हमें उल्टा जाना है।
अरे, तेज़ चला लो यार!
नहीं तो फ़्लाइट मिस हो जाएगी।
तुम्हें हो क्या गया है?
दो साल पहले तक तो तुम्हें बच्चे बिलकुल नहीं चाहिए थे और अब...",____ भी तो व्यस्त थे अपने काम को लेकर।,तुम भी तो व्यस्त थे अपने काम को लेकर।,तुम
IndicDialogue,Good Newwz,1956816836,170,"नहीं तो फ़्लाइट मिस हो जाएगी।
तुम्हें हो क्या गया है?
दो साल पहले तक तो तुम्हें बच्चे बिलकुल नहीं चाहिए थे और अब...
तुम भी तो व्यस्त थे अपने काम को लेकर।
मैं महत्वाकांंक्षी नहीं हो सकती? हद है!",पैदा मुझे करना है। करियर के मेरी लग जाएगी। ____ क्या?,पैदा मुझे करना है। करियर के मेरी लग जाएगी। तुम्हें क्या?,तुम्हें
IndicDialogue,Good Newwz,1956816836,172,"दो साल पहले तक तो तुम्हें बच्चे बिलकुल नहीं चाहिए थे और अब...
तुम भी तो व्यस्त थे अपने काम को लेकर।
मैं महत्वाकांंक्षी नहीं हो सकती? हद है!
पैदा मुझे करना है। करियर के मेरी लग जाएगी। तुम्हें क्या?
विश्वास नहीं होता।","आज सुबह-सुबह ____ फिर शुरू हो गई, यार।","आज सुबह-सुबह तुम फिर शुरू हो गई, यार।",तुम
IndicDialogue,Good Newwz,1956816836,175,"पैदा मुझे करना है। करियर के मेरी लग जाएगी। तुम्हें क्या?
विश्वास नहीं होता।
आज सुबह-सुबह तुम फिर शुरू हो गई, यार।
ना चाय, ना पानी, ना नाश्ता।
जान, फिर से कोशिश करते हैं।","आज ____ गर्भवती हो गई तो, बच्चे को बताना कि पापा ने उसे भूखे पेट पैदा किया है","आज तुम गर्भवती हो गई तो, बच्चे को बताना कि पापा ने उसे भूखे पेट पैदा किया है",तुम
IndicDialogue,Good Newwz,1956816836,178,"ना चाय, ना पानी, ना नाश्ता।
जान, फिर से कोशिश करते हैं।
आज तुम गर्भवती हो गई तो, बच्चे को बताना कि पापा ने उसे भूखे पेट पैदा किया है
मैं ओव्यूलेट कर रही हूँ, वरुण।
अरे पर शाम को घर पर समारोह है।",____ अक्ल होनी चाहिए यार।,तुम्हें अक्ल होनी चाहिए यार।,तुम्हें
IndicDialogue,Good Newwz,1956816836,180,"आज तुम गर्भवती हो गई तो, बच्चे को बताना कि पापा ने उसे भूखे पेट पैदा किया है
मैं ओव्यूलेट कर रही हूँ, वरुण।
अरे पर शाम को घर पर समारोह है।
तुम्हें अक्ल होनी चाहिए यार।
फ़्लाइट पकड़नी है। मम्मी फ़ोन करके पागल हो रही है। संदेश पर संदेश भेज रही है।",आज ही का दिन मिला था ____?,आज ही का दिन मिला था तुम्हें?,तुम्हें
IndicDialogue,Good Newwz,1956816836,183,"तुम्हें अक्ल होनी चाहिए यार।
फ़्लाइट पकड़नी है। मम्मी फ़ोन करके पागल हो रही है। संदेश पर संदेश भेज रही है।
आज ही का दिन मिला था तुम्हें?
ओह! मुझे माफ़ कर दो।
मैं अपने अंडाशय को समझा देती हूँ कि पारिवारिक समारोह के दिन, काम ना करे।",जब मर्ज़ी तब करे। पर ____ मुझसे क्यों मेहनत करवाने लगती हो?,जब मर्ज़ी तब करे। पर तुम मुझसे क्यों मेहनत करवाने लगती हो?,तुम
IndicDialogue,Good Newwz,1956816836,195,"मुझसे पूछिए सर, मेरे बच्चे हैं।
टिया और आर्यन।
और ले लो उबर।
डॉक्टर रख रखे हैं इन्होंने गाड़ी चलाने के लिए।
देवियोंं और सज्जनों, कुर्सी की पेटी बांधने का संकेत बंद हो गया है।",अब ____ शौचालय और अपने इलेक्ट्रॉनिक उपकरणों का इस्तेमाल कर सकते हैं।,अब आप शौचालय और अपने इलेक्ट्रॉनिक उपकरणों का इस्तेमाल कर सकते हैं।,आप
IndicDialogue,Good Newwz,1956816836,211,"मुझे लगा उसे सिर्फ़ मैं ही पढ़ती हूँ।
जब आपका कॉलम पढ़ता हूँ, भगवान को शुक्रिया कहता हूँ कि मैं अनपढ़ नहीं।
क्या एक सेल्फ़ी ले सकता हूँ?
अह! ज़रूर।
माफ़ करें।",____ फ़ोटो में आ रहे हैं। शुक्रिया।,आप फ़ोटो में आ रहे हैं। शुक्रिया।,आप
IndicDialogue,Good Newwz,1956816836,212,"जब आपका कॉलम पढ़ता हूँ, भगवान को शुक्रिया कहता हूँ कि मैं अनपढ़ नहीं।
क्या एक सेल्फ़ी ले सकता हूँ?
अह! ज़रूर।
माफ़ करें।
आप फ़ोटो में आ रहे हैं। शुक्रिया।",-शुक्रिया। -____ शुक्रिया।,-शुक्रिया। -आपका शुक्रिया।,आपका
IndicDialogue,Good Newwz,1956816836,215,"माफ़ करें।
आप फ़ोटो में आ रहे हैं। शुक्रिया।
-शुक्रिया। -आपका शुक्रिया।
-मेरे इंस्टाग्राम पर बाढ़ आ जाएगी। -हा-हा-हा
माफ़ कीजिए।",-____ यहाँ बैठ जाएँ। - हम ठीक हैं।,-आप यहाँ बैठ जाएँ। - हम ठीक हैं।,आप
IndicDialogue,Good Newwz,1956816836,217,"-शुक्रिया। -आपका शुक्रिया।
-मेरे इंस्टाग्राम पर बाढ़ आ जाएगी। -हा-हा-हा
माफ़ कीजिए।
-आप यहाँ बैठ जाएँ। - हम ठीक हैं।
ये मेरी पत्नी हैं।",तो फिर ____ मेरी सीट पर बैठ जाएँ।,तो फिर आप मेरी सीट पर बैठ जाएँ।,आप
IndicDialogue,Good Newwz,1956816836,218,"-मेरे इंस्टाग्राम पर बाढ़ आ जाएगी। -हा-हा-हा
माफ़ कीजिए।
-आप यहाँ बैठ जाएँ। - हम ठीक हैं।
ये मेरी पत्नी हैं।
तो फिर आप मेरी सीट पर बैठ जाएँ।",माफ़ कीजिए। ____ क्या कर रहे हैं?,माफ़ कीजिए। आप क्या कर रहे हैं?,आप
IndicDialogue,Good Newwz,1956816836,220,"-आप यहाँ बैठ जाएँ। - हम ठीक हैं।
ये मेरी पत्नी हैं।
तो फिर आप मेरी सीट पर बैठ जाएँ।
माफ़ कीजिए। आप क्या कर रहे हैं?
लगता है मैडम बहुत नाराज़ हैं।",होता है। उन्होंने ज़रूर ____ कुछ माँगा होगा और आपने दिया नहीं होगा।,होता है। उन्होंने ज़रूर आपसे कुछ माँगा होगा और आपने दिया नहीं होगा।,आपसे
IndicDialogue,Good Newwz,1956816836,222,"तो फिर आप मेरी सीट पर बैठ जाएँ।
माफ़ कीजिए। आप क्या कर रहे हैं?
लगता है मैडम बहुत नाराज़ हैं।
होता है। उन्होंने ज़रूर आपसे कुछ माँगा होगा और आपने दिया नहीं होगा।
मैं कुछ मदद करूँ?",____ सेल्फ़ी लीजिए अपनी।,आप सेल्फ़ी लीजिए अपनी।,आप
IndicDialogue,Good Newwz,1956816836,223,"माफ़ कीजिए। आप क्या कर रहे हैं?
लगता है मैडम बहुत नाराज़ हैं।
होता है। उन्होंने ज़रूर आपसे कुछ माँगा होगा और आपने दिया नहीं होगा।
मैं कुछ मदद करूँ?
आप सेल्फ़ी लीजिए अपनी।",____ सही कह रही थी।,तुम सही कह रही थी।,तुम
IndicDialogue,Good Newwz,1956816836,236,"क्या हुआ दीपू?
वैसा महसूस कर रही हूँ जैसा क्रिकेट टीम को ,महसूस होता होगा।
जब इंडिया वापस आते हैं बिना ट्रॉफ़ी जीते।
क्या मतलब?
एक बार फिर बिना गुड न्यूज़ के आ गए तुम्हारे माता-पिता के घर।",चिंता मत कर मेरे माता-पिता को पता है कि ____ विराट कोहली है।,चिंता मत कर मेरे माता-पिता को पता है कि तू विराट कोहली है।,तू
IndicDialogue,Good Newwz,1956816836,239,"क्या मतलब?
एक बार फिर बिना गुड न्यूज़ के आ गए तुम्हारे माता-पिता के घर।
चिंता मत कर मेरे माता-पिता को पता है कि तू विराट कोहली है।
एक ना एक दिन ट्रॉफ़ी ले ही आएगी।
विराट कोहली के पास 10 और खिलाड़ी हैं खेलने के लिए।",मेरे पास तो सिर्फ़ ____ ही हो ना।,मेरे पास तो सिर्फ़ तुम ही हो ना।,तुम
IndicDialogue,Good Newwz,1956816836,245,"तो कोशिश कर तो रहा हूँ, हवाई जहाज़ में...
-आ गए। मुंबई वाले। -अरे, मम्मा।
आओ जी। खुश रहो!
खुश रहो। दूधो नहाओ, पूतो फलो।
-पापा कहाँ हैं? -पापा रेवड़ी और मूँगफ़ली लेने गए हैं।",अच्छा ____ ऐसा करो।,अच्छा तुम ऐसा करो।,तुम
IndicDialogue,Good Newwz,1956816836,253,"बेटे वो तेरी स्लिप डिक्स का क्या हाल है?
डिक्स नहीं माँ, डिस्क।
इसको डिस्क कहते हैं।
-और इसको। -वही, पीठ दर्द।
ठीक है।।","-कहाँ जा रहे हो ____? -हाँ, बेटा मैं ज़रा पार्लर जा रही हूँ।","-कहाँ जा रहे हो आप? -हाँ, बेटा मैं ज़रा पार्लर जा रही हूँ।",आप
