source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun,gold_tier
IndicDialogue,The White Tiger,1957077990,530,"‏- प्लीज़, पापा। ‏-पापा, मैं कुछ कहूँ? सॉरी।
‏आपकी उस तरह से ‏बेइज़्ज़ती नहीं होनी चाहिए थी।
‏ऐसा नहीं होना चाहिए था। एक सेकेंड। श्श।
‏दिल्ली न्यू यॉर्क जैसा ‏अंतर्राष्ट्रीय शहर है।
‏ए, अशोक। इससे कहो ‏कि इसे यहाँ नहीं बोलना चाहिए।","‏हे भगवान। देखिए, मैं यहीं बैठी हूँ। ‏____ मुझसे बात कीजिए।","‏हे भगवान। देखिए, मैं यहीं बैठी हूँ। ‏आप मुझसे बात कीजिए।",आप,AAP
IndicDialogue,Ginny Weds Sunny,1956951114,1028,"‎और सुमित तो… उसके भाई की तरह है।
‎गिन्नी ने खुद मुझे उसके और सुमित के पहले किस ‎के बारे में बताया
‎और गाँजा उसने मुझे भी फूंकाया।
‎देखो आंटी, सीधी-सी बात है।
‎आपकी बेटी का और मेरा पहले से कुछ मेल था नहीं।","‎वो दूध है, तो मैं खट्टा नींबू, फट के ना ज़िंदगी का ‎पनीर बन गया, ____ क्यों नहीं समझ रहे मेरी बात?","‎वो दूध है, तो मैं खट्टा नींबू, फट के ना ज़िंदगी का ‎पनीर बन गया, आप क्यों नहीं समझ रहे मेरी बात?",आप,AAP
IndicDialogue,Darlings,1957768015,729,"‎-काम? क्या कह रहे हो आप? ‎-हिंदी। गा के पूछूँ? बाहर आ!
‎बता कब से चल रहा है।
‎थोड़ा ""टाइटैनिक"" के हीरो जैसा है न? ‎ताज़गी भरा प्रेमी। इत्र लगा के।
‎और मैं थकेला पति।
‎बच्चा भी उसी का है क्या?",‎बच्चा ____ है!,‎बच्चा आपका है!,आपका,AAP
IndicDialogue,Jaane Jaan,1958289341,1209,"-ऐसा क्यों? -ये तो आपको अजीत से पूछना पड़ेगा।
मिसेज़ डिसूज़ा…
-ज्यादा तीखा  तो नहीं है? -नहीं।
अजीत को मारने कोई कलिम्पोंग क्यों आएगा?
आपका काम भी मैं करूँ?",हम्म। ____ जाना है।,हम्म। आपको जाना है।,आपको,AAP
IndicDialogue,Good Newwz,1956816836,597,"अह! मेरा अपॉइंटमेंट है।
किस चीज़ का अपॉइंटमेंट था सर?
नमूना देना है।
माफ़ कीजिए, सर। किस चीज़ का अपॉइंटमेंट था?
आप नाम डालकर देख लीजिए। आपको पता चल जाएगा।","-____ नाम? -जी, वरुण बत्रा।","-आपका नाम? -जी, वरुण बत्रा।",आपका,AAP
IndicDialogue,Ginny Weds Sunny,1956951114,396,"‎अरे गिन्नु, तू फिर से देख पज़ेसिव हो रही है।
‎देख, अब हम हैं दोस्त।
‎तो अब तो थोड़ी स्पेस दे दे।
‎सही बोलती है प्रेरणा!
‎हमें बिल्कुल अलग हो जाना चाहिए, निशांत।","‎मैं तो कब से ____ कह रहा हूँ, ढूँढ ले कोई और।","‎मैं तो कब से तुझे कह रहा हूँ, ढूँढ ले कोई और।",तुझे,T
IndicDialogue,Axone,1956818787,1100,"भगवान के लिए उसे थोड़ा आराम दो!
मिनम की शादी है!
तुम लोगों ने ही कहा कि शादी में देर है, है ना?
बस दो घंटे की!
तुम चाहते हो कि वह दो घंटे के लिए दुकान पर आकर बैठे?",जैसी ____ इच्छा!,जैसी तुम्हारी इच्छा!,तुम्हारी,TUM
IndicDialogue,The Great Indian Family,1958355201,167,"खड़ा हूँ दर पे,
तू कोरी चुनरिया में, थोड़ी सी लाली भर दे,
दुहाई है तुझे,
तू सारी अमवासों को, मेरी दिवाली कर दे
जनम से मै एक, अवगुण का पुतला,","____ मेरे सब दोष गुण में बदल दे,","तू मेरे सब दोष गुण में बदल दे,",तू,T
IndicDialogue,Ginny Weds Sunny,1956951114,1110,"‎ओ बुज़ुर्गों, बहुत भलाई कर ली आप दोनों ने। अब बस।
‎इतनी देर से उसके पीछे भाग रहा हूँ।
‎अगर उसको वाकई मुझसे शादी करनी होती, ‎तो वो यहाँ होती, निशांत के साथ नहीं।
‎बात करते हैं।
‎ओए, चल ऊपर।",‎देख रहे हो ____?,‎देख रहे हो आप?,आप,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2308,"मैं खुश हूँ तेरे साथ।
तू आज खुश है।
तू ग्यारंटी ले सकती है हमेशा खुश रहेगी
और आगे चल के तुझे कभी ऐसा नहीं लगेगा कि तूने मेरे लिए
अपनी लाइफ़ के साथ कॉम्प्रोमाइस किया?",क्या ____ फिर कभी यी फ़ीलिंग नहीं आएगी,क्या तुझे फिर कभी यी फ़ीलिंग नहीं आएगी,तुझे,T
IndicDialogue,Hit the First Case,1957795759,805,"जाओ, पहले परमिशन लेकर आओ।
{\an8}डॉक्टर चंद्रशेखर राठौर प्रिंसिपल
-सर, आजकल आप क्लासेस कम ले रहो हों क्या? -क्यों?
नहीं, आपकी बातों से लग रहा है।
क्या?",बहुत फालतू टाइम है ____ पास।,बहुत फालतू टाइम है आपके पास।,आपके,AAP
IndicDialogue,Hit the First Case,1957795759,1756,"प्रीति, पहचाना नहीं?
सपना।
ओह, सपना।
हे भगवान! मुझे तो यकीन ही नहीं हो रहा है। तुम कैसी हो?
मुझे भी यकीन नहीं हो रहा है।",मैंने ____ बहुत मिस किया।,मैंने तुम्हें बहुत मिस किया।,तुम्हें,TUM
IndicDialogue,Indoo Ki Jawani,1957132233,861,"तू भी आगे बढ़।
लड़का अच्छा है, इंदू। डर मत।
अरे, उसने हाथ पकड़ लिया।
अब? पप्पी?
ठीक है, जय माता दी।",♪ रब ने ____ क्या ख़ूब बनाया♪,♪ रब ने तुझे क्या ख़ूब बनाया♪,तुझे,T
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2558,"♪  भीगे, भीगे, भीगे  ♪
♪  भीगे, भीगे, भीगे  ♪
उठ गए, नवाब?
स्वीटू, नाश्ता लगा साहब का!
-क्या है नाश्ते में? -तू बता न तुझे क्या चाहिए?","मैं बुफ़े लगा देती हूँ ____ चूज़ कर लेना,","मैं बुफ़े लगा देती हूँ तू चूज़ कर लेना,",तू,T
IndicDialogue,Good Newwz,1956816836,1334,"राई के तेल की बदबू आती है इनमें से।
आज के बाद ना मैं तुम्हारे इस बच्चे के बाप को अपने घर में घुसने नहीं दूँगा। देख लेना।
मेरे बच्चे का बाप?
तुम्हारा घर?
विश्वास नहीं होता, वरुण।",रहो ____ अकेले अपने घर में।,रहो तुम अकेले अपने घर में।,तुम,TUM
IndicDialogue,Madam Chief Minister,1957179704,1434,"आप।
मैं?
देखिये, आप इस झमेले में मुझे मत फँसाइए।
बहुत सारे वरिष्ठ नेता हैं।
उनमें से किसी को बना दीजिएगा।",____ सरकारी नौकरी तो पहले ही छिन चुकी हूँ पति बनाकर।,आपकी सरकारी नौकरी तो पहले ही छिन चुकी हूँ पति बनाकर।,आपकी,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2246,"बट ट्रस्ट मी, मेरी नहीं है।
उल्टा, जो प्यार मैं तुझे दे पाता हूँ,
वो मुझे वहाँ से मिलता है।
उस प्यार का सोर्स वो हैं।
मैं उनसे दूर होऊँगा,","तो मुझे पता ही नहीं है, मेरे पास ____ कुछ देने के लिए होगा भी या नहीं।","तो मुझे पता ही नहीं है, मेरे पास तुझे कुछ देने के लिए होगा भी या नहीं।",तुझे,T
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,1654,"तू खुश है?
तुझे जाना है न?
जाने दूँगा।
पर ऐसे नहीं।
ऐसे झूठ बोल के, आँख चुराके नहीं।",____ मेरी आँखों में ख़ुद को जाते देखना होगा।,तुझे मेरी आँखों में ख़ुद को जाते देखना होगा।,तुझे,T
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,1656,"जाने दूँगा।
पर ऐसे नहीं।
ऐसे झूठ बोल के, आँख चुराके नहीं।
तुझे मेरी आँखों में ख़ुद को जाते देखना होगा।
तुझे मुझसे कहना होगा,",____ बताना होगा।,तुझे बताना होगा।,तुझे,T
IndicDialogue,Hit the First Case,1957795759,1782,"मुझे उससे किसी भी कीमत पे बात करनी थी।
तब नहीं पता था कि मैं गलत कदम उठा रही हूँ।
फहाद से हम अपनी गाड़ी की सर्विसिंग करवाते थे।
एक दिन उसे पैसों की ज़रूरत पड़ी इसलिए वो मुझसे माँगने आया।
तुम्हें पैसे मिल जाएँगे।",लेकिन ____ मेरा एक काम करना होगा।,लेकिन तुम्हें मेरा एक काम करना होगा।,तुम्हें,TUM
IndicDialogue,Axone,1956818787,549,"- आज तो मैं देखके रहूँगी। - अरे क्या हो गया ऊपर?
अरे माता जी, आप तो ""चक दे"" वाली लड़की लग रहे हों आज!
चल आ मेरी मदद कर! देख क्या हो रहा है?
- आंटी जी, कसम से नहीं बना रहे हैं खाना। -  नहीं बना रहे?
हाँ... तो ठीक है। हम तो सब बेवकूफ़ हैं ना जिनको यह सड़ी बदबू आ रही है?",नहीं... ____ चाहे तो आकर देख लीजिए ना।,नहीं... आप चाहे तो आकर देख लीजिए ना।,आप,AAP
IndicDialogue,Hit the First Case,1957795759,1147,"सर।
शीला।
विक्रम बहुत फेयर आदमी है।
वो भेदभाव नहीं करता है आदमी और औरत में।
तुम्हें वही ट्रीटमेंट मिलेगा जो किसी मेल क्रिमिनल को मिलता है।",मैं ____ मदद कर सकता हूँ।,मैं तुम्हारी मदद कर सकता हूँ।,तुम्हारी,TUM
IndicDialogue,Shehzada,1958077493,270,"लेकिन ये पिंक चुन्नी का लड़के क्या करेंगे?
लोगों को वही चुराना चाहिए जो उनके काम आए, छुटकी।
तुम्हारी बहन के साथ किसी ने छेड़खानी की,
और तुम्हें गुस्सा भी नहीं आया।
रिलैक्स।",____ मुझसे कुछ ज़्यादा ही उम्मीदें हैं।,तुम्हें मुझसे कुछ ज़्यादा ही उम्मीदें हैं।,तुम्हें,TUM
IndicDialogue,Good Newwz,1956816836,25,"आपको सारे ख़ासियतों और इंजन के बारे में बताकर, समय बर्बाद नहीं करूँगा।
पर हाँ, सन-रूफ़ और ड्राइव मोड सिलेक्टर
इसे एक स्पोर्टी एसयूवी बनाते हैं।
आपके परिवार के आरामदायक सफ़र के लिए एक बेहतरीन गाड़ी।
वैसे, यह सब ग्राहकों को समझाना मेरा काम नहीं है मगर","मैंने ____ जब देखा, ईमानदारी से कहूँ तो","मैंने आपको जब देखा, ईमानदारी से कहूँ तो",आपको,AAP
IndicDialogue,Dhamaka,1957450323,1175,"‪तुम अपना काम करो ना। अपना प्लान क्या है?
‪तुम रघुबीर को बोलो कि
‪उसे कोई सॉरी नहीं बोलने वाला, ‪जो कि नहीं बोलने वाला।
‪ उसके बाद रघुबीर कोई बेवकूफ़ी ‪करेगा, फिर वो विलेन कहलाएगा,
‪और फिर पुलिस उसे पकड़ेगी।",‪और फिर ____ ये शो इस तरह ख़त्म करोगे,‪और फिर तुम ये शो इस तरह ख़त्म करोगे,तुम,TUM
IndicDialogue,Jaane Jaan,1958289341,203,"पता नहीं, मैं भूल गया हूँ।
मैं सारी पुरानी बातें भूल चुका हूँ।
तुम भी भूल जाओ न, यार।
क्या चाहिए तुम्हें?
छुओ मत मुझे।",सिर्फ ____ साथ चाहिए।,सिर्फ तुम्हारा साथ चाहिए।,तुम्हारा,TUM
IndicDialogue,Indoo Ki Jawani,1957132233,758,"परजाई जी क्या हाल हैं?
सब ठीक।
क्या भैया! आज का ही दिन मिला था आपको एक्वागार्ड देखने के लिए?
इतने समय से शिकायत की हुई है।
पिछले हफ्ते भी तो आपको फ़ोन किया था। तब क्यों नहीं आए?",आज अचानक एक्वागार्ड देखने आ गए ____!,आज अचानक एक्वागार्ड देखने आ गए आप!,आप,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2165,"उसके साथ लाइफ़ नहीं बिता सकता।
वो मुझे अपनी लाइफ़ में नहीं चाहिए।
मैं तुमसे प्यार करती हूँ।
मैं तुमसे प्यार करती हूँ।
मैं तुमसे प्यार करती हूँ!",मैं ____ प्यार करती हूँ! प्यार करती हूँ! प्यार करती हूँ!,मैं तुमसे प्यार करती हूँ! प्यार करती हूँ! प्यार करती हूँ!,तुमसे,TUM
IndicDialogue,Jaane Jaan,1958289341,454,"प्लीज़ एक बार टीचर को हेल्प तो करने दो।
""आपको मालूम है न?""
""वो सिर्फ आपके लिए आता है।""
चल।
टीचर, अगर आपने हमारी मदद की, आप भी तो फँस जाएँगे।",-मैं फँस चूका हूँ। -पर ____ तो कुछ किया ही नहीं।,-मैं फँस चूका हूँ। -पर आपने तो कुछ किया ही नहीं।,आपने,AAP
IndicDialogue,Jaane Jaan,1958289341,1856,"मुझे लगा, ज़िन्दगी वहीं ख़तम हो गई।
और तभी, आपने दरवाज़ा खटखटाया।
-पता नहीं मैं आपका कैसे शुक्रिया… -शुक्रिया आपका, मिसेज़ डिसूज़ा।
मुझे अपने
पहले प्यार तक वापस ले जाने के लिए।",-मैं ____ रोज़ मिलने… -नहीं।,-मैं आपसे रोज़ मिलने… -नहीं।,आपसे,AAP
IndicDialogue,The Great Indian Family,1958355201,381,"वैसे बीएससी क्रॉस कर चुके हैं वो लगते थोड़े युवा हैं।
आप अकेले ही स्क्वाड बनके घूम रहे हैं?
नहीं, नहीं दो कर्मचारी रखे हैं हमने।
पर प्रमुख भूमिका हमारी है।
वाह!","समझ नहीं पा रही हूं कि, ____ शुक्रिया कैसे अदा करूं?","समझ नहीं पा रही हूं कि, आपका शुक्रिया कैसे अदा करूं?",आपका,AAP
IndicDialogue,Hit the First Case,1957795759,192,"पर अगर किसी को बताऊँगा ना…
वो सिर्फ तुम ही हो।
ठीक है।
जब तुम्हें ठीक लगे।
मैं तुम्हें फोर्स नहीं कर रही हूँ।","जब ____ ठीक लगे, बता देना।","जब तुम्हें ठीक लगे, बता देना।",तुम्हें,TUM
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2627,"बेबीकेयर
{\an8}कार्तिक और नुसरत को प्यार
{\an8}♪  मैं पूरे का पूरा हूँ मैं अब नहीं  ♪
{\an8}♪  कि उसमें से आधा है तू  ♪
{\an8}♪  या मुमकिन है मुझमें ही रहने लगा  ♪",{\an8}♪  मुझसे भी ज़्यादा है ____  ♪,{\an8}♪  मुझसे भी ज़्यादा है तू  ♪,तू,T
IndicDialogue,Indoo Ki Jawani,1957132233,1977,"मार?
पर मैंने भी अच्छी दो चार लगाई इसको।
नहीं, मेरा यह मतलब नहीं था।
तुमने उसे कड़ी टक्कर दी।
वैसे एक बताओ, क्या तुम्हें पता था कि आज कुछ गलत होगा,",या क्या ____ आमतौर पर चाकू और लाल मिर्च पाउडर हमेशा रखती हो?,या क्या तुम आमतौर पर चाकू और लाल मिर्च पाउडर हमेशा रखती हो?,तुम,TUM
IndicDialogue,Axone,1956818787,458,"तूने तो बोला था... तेरी तो गर्लफ्रेंड है?
और ऊपर से तुझे पूर्वोत्तर की गर्लफ्रेंड चाहिए?
अबे ऐसे ही नाम की गर्लफ्रेंड है यार!
गैस मिल गया!
गैस मिल गया!",____ पता है समय क्या हुआ है? एक बज गए एक!,तुझे पता है समय क्या हुआ है? एक बज गए एक!,तुझे,T
IndicDialogue,Lust Stories 2,1958186552,659,"- और बिल्डिंग में हर किसी ने सुना... -  ये क्या कह रही है तू?
बेब, मुझे खुद नहीं समझ आया कि मुझे क्या कहना चाहिए।
क्योंकि मैंने तो तुझसे बात भी नहीं की है।
तूने मुझसे बात ही करनी बंद कर दी है।
और मुझे लगता है... मेरा मतलब, तूने उसे निकाला भी है?"," सामी, ____ पागल हो गई है?"," सामी, तू पागल हो गई है?",तू,T
IndicDialogue,Indoo Ki Jawani,1957132233,1682,"इसे भी अंग्रेज़ी आती है।
तुझे क्या लगा तू अंग्रेज़ी में बोलेगा तो इसे नहीं समझेगा।
तू चाहे जो भी कर ले, मैं तेरे मंसूबों को कामयाब होने नहीं दूँगी।
मंसूबे?
मेरे क्या मंसूबे हैं?",दोस्ती का नाटक करके ____ इंडिया में अपना झंडा गाड़ना चाहता है।,दोस्ती का नाटक करके तू इंडिया में अपना झंडा गाड़ना चाहता है।,तू,T
IndicDialogue,The Great Indian Family,1958355201,415,"हम करेंगे...
हेलो जी आंटी।
बस पहुँच गयी हूँ आंटी। प्रॉब्लम नहीं आंटी।
बंदर आ गए रास्ते में, तो उन्हें सलटाने में टाइम लग गया। जी।
दीदी आपका काम ख़राब नहीं होना चाहिए,",अब्दुल जो कर सकता था सब हम करेंगे। ____ बस आदेश दीजिए।,अब्दुल जो कर सकता था सब हम करेंगे। आप बस आदेश दीजिए।,आप,AAP
IndicDialogue,The White Tiger,1957077990,535,"‏हे भगवान। देखिए, मैं यहीं बैठी हूँ। ‏आप मुझसे बात कीजिए।
‏मैं कायरोप्रैक्टिक डॉक्टर हूँ, ‏एनवाईयू से डीपीटी मिला है।
‏कागज़ के टुकड़े बेडरूम की दीवारों पर ‏अच्छे लगते हैं, जहाँ इसकी जगह है।
‏अच्छा, एक बात कहूँ? नहीं। एक बात कहूँ?
‏मैं और अशोक दिल्ली जाकर ‏आपकी टैक्स घपले वाली समस्या सुलझाएँगे,",‏और ____ पोस्टकार्ड भेजेंगे। कैसा रहेगा?,‏और आपको पोस्टकार्ड भेजेंगे। कैसा रहेगा?,आपको,AAP
IndicDialogue,Madam Chief Minister,1957179704,586,"लेकिन उससे पहले बहुत ज़रूरी बात,
हमें अपनी पार्टी से एक उम्मीदवार का चयन करना है
जो मुख्यमंत्री का पद संभाल सके।
इसमें मैं आप सब लोगों की सलाह चाहूँगा।
आप लोग बताइए,",किस उम्मीदवार को ____ लोग देखते हैं मुख्यमंत्री के रूप में?,किस उम्मीदवार को आप लोग देखते हैं मुख्यमंत्री के रूप में?,आप,AAP
IndicDialogue,The White Tiger,1957077990,229,"‏-कसम खाते हैं। ‏-क्या दाँत फाड़ रहा है?
‏मारो चिकोटी और खाओ कसम!
‏चिकोटी खा रहे हैं! दादी, आप सोचिए…
‏आप गाँव की सबसे अमीर औरत बन सकती हैं।
‏यह छड़ी है न, यह सोने की छड़ी होगी। ‏जब ऐसे आप घुमाइएगा,",‏तो गाँव में सब लोग ____ देखा करेंगे।,‏तो गाँव में सब लोग आपको देखा करेंगे।,आपको,AAP
IndicDialogue,Indoo Ki Jawani,1957132233,1465,"हमारे पास भी अफरीदी, वसीम अकरम, इमरान खान है।
और तुम्हारे फ़िल्मों की बड़ी हीरोइनें हमारे खिलाड़ियों पे मरती हैं।
इसका ये मतलब नहीं कि तुम्हारे खिलाडी हम से ज्यादा अच्छे हैं।
वर्ल्ड कप के सारे मैच हार चुके हो हम से।
हम्म?",भारत ____ लोगों से कई गुना अच्छा है।,भारत तुम लोगों से कई गुना अच्छा है।,तुम,TUM
IndicDialogue,Jaadugar,1957742927,1870,"संपूर्ण नीमच का ही स्वागत है।
अरे उसे देख, उसे।
दोषी जी पिछले साल फ़ाइनल मैच के दौरान, नीमच के 11 घरों में डकैतियाँ हुई थीं।
क्या लगता है आपको, इस साल वो रेकॉर्ड टूटेगा?
जी मैं वो तो नहीं बता सकता।","पर ये ज़रूर कह सकता हूँ कि आज चोरी की रिपोर्ट दिखाने के लिए ____ थाने नहीं,","पर ये ज़रूर कह सकता हूँ कि आज चोरी की रिपोर्ट दिखाने के लिए आपको थाने नहीं,",आपको,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2286,"तू पास्ट टेंस में बात कर रहा है।
मैं भूल गई थी...
प्यार कुर्बान हो चुका है।
नहीं।
तीस साल का प्यार है मेरा।",____ मेरा सातवाँ प्यार है।,तू मेरा सातवाँ प्यार है।,तू,T
