source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun
IndicDialogue,Om Jai Jagadish,1955489781,78,"तो क्या गलत हुआ? यह केवल व्यापार है। अगर मैं कर कुछ पैसे pirating ...
मैं भी आप के लिए एक सा छोड़ सकते हैं। अपने जीवन, श्री ओम तेजी से आगे",क्या ____ कभी इस कार्यालय में कदम नहीं है।,क्या आपने कभी इस कार्यालय में कदम नहीं है।,आपने
IndicDialogue,Om Jai Jagadish,1955489781,80,"क्या आपने कभी इस कार्यालय में कदम नहीं है।
शांति श्री ओम शांति। - बाहर जाओ।",मुझे पता है अगर ____ कभी भी मुझे जरूरत है,मुझे पता है अगर आप कभी भी मुझे जरूरत है,आप
IndicDialogue,Om Jai Jagadish,1955489781,86,"ऐसे ही, शेखर?
बुरा नहीं!","क्योंकि .. ""केके मिश्रण .."" ____ खुश होना चाहिए","क्योंकि .. ""केके मिश्रण .."" आप खुश होना चाहिए",आप
IndicDialogue,Om Jai Jagadish,1955489781,89,"हाय, शेखर। - नमस्ते।
ये KK-मिक्स लोग एक फिर से मिश्रित पुराने नंबर बंद पारित करने की कोशिश कर रहे हैं",मैं ____ इसे सुनने के लिए पहले इसे जारी किया है चाहता हूँ।,मैं आप इसे सुनने के लिए पहले इसे जारी किया है चाहता हूँ।,आप
IndicDialogue,Om Jai Jagadish,1955489781,90,"ये KK-मिक्स लोग एक फिर से मिश्रित पुराने नंबर बंद पारित करने की कोशिश कर रहे हैं
मैं आप इसे सुनने के लिए पहले इसे जारी किया है चाहता हूँ।","ठीक है, श्री ओम बत्रा। यहाँ केके मिश्रण है, ____ के लिए रहते हैं।","ठीक है, श्री ओम बत्रा। यहाँ केके मिश्रण है, आप के लिए रहते हैं।",आप
IndicDialogue,Om Jai Jagadish,1955489781,99,"वह कहते हैं कि केके के मिश्रण से काम नहीं चलेगा!
क्या मेरा नंबर के साथ गलत क्या है? - एक नहीं, कई।",मूल एक क्लासिक है। और ____...,मूल एक क्लासिक है। और आप...,आप
IndicDialogue,Om Jai Jagadish,1955489781,108,"महोदय।
राम प्रसाद। - जी श्रीमान? - यहाँ पल है ...",____ सब अपने जीवन की प्रतीक्षा है। आप आज गा सकते हैं ...,आप सब अपने जीवन की प्रतीक्षा है। आप आज गा सकते हैं ...,आप
IndicDialogue,Om Jai Jagadish,1955489781,109,"राम प्रसाद। - जी श्रीमान? - यहाँ पल है ...
आप सब अपने जीवन की प्रतीक्षा है। आप आज गा सकते हैं ...",____ अपने जीवन के आराम के लिए गा सकता हूँ,आप अपने जीवन के आराम के लिए गा सकता हूँ,आप
IndicDialogue,Om Jai Jagadish,1955489781,113,"नमस्कार महोदय।
इस KK-मिक्स का अपमान है! मैं एक सुपरहिट मिश्रित है","क्योंकि मैं सबसे अच्छा कर रहा हूँ। ____ इसे पछतावा होगा, ओम बत्रा।","क्योंकि मैं सबसे अच्छा कर रहा हूँ। आप इसे पछतावा होगा, ओम बत्रा।",आप
IndicDialogue,Om Jai Jagadish,1955489781,114,"इस KK-मिक्स का अपमान है! मैं एक सुपरहिट मिश्रित है
क्योंकि मैं सबसे अच्छा कर रहा हूँ। आप इसे पछतावा होगा, ओम बत्रा।","ओम, ____ अपने विपणन प्रतिभा साबित कर दिया है","ओम, आप अपने विपणन प्रतिभा साबित कर दिया है",आप
IndicDialogue,Om Jai Jagadish,1955489781,121,"नहीं पैसे की वजह से। वह सक्षम है
अरे हाँ, मैं अपने दर्शन को पता है। - प्यार पैसे से अधिक शक्तिशाली है",लेकिन प्यार ____ पैसा पैदा नहीं कर सकते हैं; अभी तक पैसे से प्यार खरीद सकते हैं,लेकिन प्यार आप पैसा पैदा नहीं कर सकते हैं; अभी तक पैसे से प्यार खरीद सकते हैं,आप
IndicDialogue,Om Jai Jagadish,1955489781,122,"अरे हाँ, मैं अपने दर्शन को पता है। - प्यार पैसे से अधिक शक्तिशाली है
लेकिन प्यार आप पैसा पैदा नहीं कर सकते हैं; अभी तक पैसे से प्यार खरीद सकते हैं",यही कारण है कि मेरा परिवार मेरे साथ है और यही कारण है कि ____ एक अकेले हो रहा है यही कारण है कि,यही कारण है कि मेरा परिवार मेरे साथ है और यही कारण है कि आप एक अकेले हो रहा है यही कारण है कि,आप
IndicDialogue,Om Jai Jagadish,1955489781,123,"लेकिन प्यार आप पैसा पैदा नहीं कर सकते हैं; अभी तक पैसे से प्यार खरीद सकते हैं
यही कारण है कि मेरा परिवार मेरे साथ है और यही कारण है कि आप एक अकेले हो रहा है यही कारण है कि","____ मेरे साथ हो। - क्योंकि प्यार का, पैसे के लिए नहीं","तुम मेरे साथ हो। - क्योंकि प्यार का, पैसे के लिए नहीं",तुम
IndicDialogue,Om Jai Jagadish,1955489781,124,"यही कारण है कि मेरा परिवार मेरे साथ है और यही कारण है कि आप एक अकेले हो रहा है यही कारण है कि
तुम मेरे साथ हो। - क्योंकि प्यार का, पैसे के लिए नहीं",मुद्दा लेना। ____ जीते। - धन्यवाद।,मुद्दा लेना। तुम जीते। - धन्यवाद।,तुम
IndicDialogue,Om Jai Jagadish,1955489781,130,"हम बचपन के दोस्त से किया गया है। पैसे के बारे में संकोच न करें ...
अगर यह जय की शिक्षा का सवाल है। वह मेरा भाई भी है।","महोदय, की जाँच करें। - ____ धन्यवाद, श्री रमानी।","महोदय, की जाँच करें। - आपको धन्यवाद, श्री रमानी।",आपको
IndicDialogue,Om Jai Jagadish,1955489781,137,"धन्यवाद।
धन्यवाद, शेखर।",____ पृथ्वी पर मेरे लिए भगवान की जगह ले लिया है,आप पृथ्वी पर मेरे लिए भगवान की जगह ले लिया है,आप
IndicDialogue,Om Jai Jagadish,1955489781,142,"वह इतनी तेजी से है!
नहीं भी मैं उसके साथ पकड़ कर सकते हैं। उन्होंने कहा कि समय आगे बढ़ना करना चाहता है",____ और अधिक पता चल जाएगा कि एक बार प्राचार्य अपनी उपस्थिति रिकॉर्ड उल्लेख किया गया है,आप और अधिक पता चल जाएगा कि एक बार प्राचार्य अपनी उपस्थिति रिकॉर्ड उल्लेख किया गया है,आप
IndicDialogue,Om Jai Jagadish,1955489781,143,"नहीं भी मैं उसके साथ पकड़ कर सकते हैं। उन्होंने कहा कि समय आगे बढ़ना करना चाहता है
आप और अधिक पता चल जाएगा कि एक बार प्राचार्य अपनी उपस्थिति रिकॉर्ड उल्लेख किया गया है",____ परीक्षा के लिए बैठने के लिए सक्षम नहीं होगा। तुम्हे पता हैं। - माफ़ कीजिये।,आप परीक्षा के लिए बैठने के लिए सक्षम नहीं होगा। तुम्हे पता हैं। - माफ़ कीजिये।,आप
IndicDialogue,Om Jai Jagadish,1955489781,144,"आप और अधिक पता चल जाएगा कि एक बार प्राचार्य अपनी उपस्थिति रिकॉर्ड उल्लेख किया गया है
आप परीक्षा के लिए बैठने के लिए सक्षम नहीं होगा। तुम्हे पता हैं। - माफ़ कीजिये।",क्या ____ जानते हैं कि कितने वर्गों आप इस सेमेस्टर में भाग लिया?,क्या आप जानते हैं कि कितने वर्गों आप इस सेमेस्टर में भाग लिया?,आप
IndicDialogue,Om Jai Jagadish,1955489781,146,"क्या आप जानते हैं कि कितने वर्गों आप इस सेमेस्टर में भाग लिया?
क्या एक शानदार रिकॉर्ड!",____ नौ AM कल पर प्रिंसिपल देखेंगे,आप नौ AM कल पर प्रिंसिपल देखेंगे,आप
IndicDialogue,Om Jai Jagadish,1955489781,147,"क्या एक शानदार रिकॉर्ड!
आप नौ AM कल पर प्रिंसिपल देखेंगे","क्या सच है और क्या गलत है, ____ लोगों को पता चल जाएगा।","क्या सच है और क्या गलत है, तुम लोगों को पता चल जाएगा।",तुम
IndicDialogue,Om Jai Jagadish,1955489781,153,"""जब मेरे बाल स्पंदन।"" - इसलिए?
Jags! मैं मर गया! पिताजी ने मुझे मार डालेगा! - क्यूं कर...?",सिर्फ ____ कुछ कर सकते हैं!,सिर्फ आप कुछ कर सकते हैं!,आप
IndicDialogue,Om Jai Jagadish,1955489781,159,"धन्यवाद। - ठीक है। धन्यवाद, Jags।
हमें जाने दो।",____ कहाँ जा रहे हो? - वर्ग के लिए,तुम कहाँ जा रहे हो? - वर्ग के लिए,तुम
IndicDialogue,Om Jai Jagadish,1955489781,183,"मैं इस हिरन के साथ क्या करते हो? - बेटा, कि सिक्का ...
पहली बार अपने पिता हमारे मंदिर में रखा गया था टोकन",____ हमेशा पैसे से बाहर चल रहे हैं। सिक्का रखें। यह आप के लिए शुभ संकेत,आप हमेशा पैसे से बाहर चल रहे हैं। सिक्का रखें। यह आप के लिए शुभ संकेत,आप
IndicDialogue,Om Jai Jagadish,1955489781,186,"गुड लक सिक्का ...? - हाँ
धन्यवाद, माँ। अलविदा।","खुश, प्रिय हो। - ____ प्यार।","खुश, प्रिय हो। - तुम्हें प्यार।",तुम्हें
IndicDialogue,Om Jai Jagadish,1955489781,189,"अ रहे है! अ रहे है! अ रहे है!
हाय जय! क्या हाल है?",____ शुभ संध्या। और मेरे लिए अच्छा सुबह।,आपको शुभ संध्या। और मेरे लिए अच्छा सुबह।,आपको
IndicDialogue,Om Jai Jagadish,1955489781,196,"बकबक बंद करो। पढ़ते रहिये
अमेरिका के एक महान देश है। यहाँ के लोग बहुत मेहनती हैं",यह अवसरों की भूमि भरा है कि ____ जीवन में इसे बनाने के लिए चाहते हैं,यह अवसरों की भूमि भरा है कि आप जीवन में इसे बनाने के लिए चाहते हैं,आप
IndicDialogue,Om Jai Jagadish,1955489781,203,"उसे करने के लिए मेरी शुभकामनाएं।
हां मां...",ओम जय ... ____ अपने संबंध को भेजता है। - वह खुश हो सकता है,ओम जय ... आप अपने संबंध को भेजता है। - वह खुश हो सकता है,आप
IndicDialogue,Om Jai Jagadish,1955489781,211,"और क्या जय लिखा? - मा, पत्र खत्म हो गया है
कोई समस्या नहीं है। उन्होंने कहा कि ठीक है।",____ कुछ भूल रहे हैं ...? ओम ... लड़की ... शादी ...?,आप कुछ भूल रहे हैं ...? ओम ... लड़की ... शादी ...?,आप
IndicDialogue,Om Jai Jagadish,1955489781,213,"आप कुछ भूल रहे हैं ...? ओम ... लड़की ... शादी ...?
आ जाओ","बेटा, ____ मुझे मना नहीं करेंगे, आप करेंगे? - से इनकार क्या, मा?","बेटा, तुम मुझे मना नहीं करेंगे, आप करेंगे? - से इनकार क्या, मा?",तुम
IndicDialogue,Om Jai Jagadish,1955489781,214,"आ जाओ
बेटा, तुम मुझे मना नहीं करेंगे, आप करेंगे? - से इनकार क्या, मा?",मैं ____ लिए एक महिला को चुना है। - क्या...?,मैं तुम्हारे लिए एक महिला को चुना है। - क्या...?,तुम्हारे
IndicDialogue,Om Jai Jagadish,1955489781,216,"मैं तुम्हारे लिए एक महिला को चुना है। - क्या...?
कोई इनकार",वह क्लब में ____ कल देखेंगे,वह क्लब में तुम कल देखेंगे,तुम
IndicDialogue,Om Jai Jagadish,1955489781,217,"कोई इनकार
वह क्लब में तुम कल देखेंगे","____ पता है, उसे देखना होगा कि नहीं?","तुम्हें पता है, उसे देखना होगा कि नहीं?",तुम्हें
IndicDialogue,Om Jai Jagadish,1955489781,223,"जंच रहे हो! बहुत अच्छा महसूस कर रहा हूँ! अब चलें!
जगदीश! - सावधान!","____ क्या कर रहे हैं, जगदीश!","आप क्या कर रहे हैं, जगदीश!",आप
IndicDialogue,Om Jai Jagadish,1955489781,227,"मुझे उस हाथ दे
लाल अपने रंग है!","हे भगवान! कोई भी बुरी नजर डाली सकता है! - क्या ____ तक, माँ हैं?","हे भगवान! कोई भी बुरी नजर डाली सकता है! - क्या आप तक, माँ हैं?",आप
IndicDialogue,Om Jai Jagadish,1955489781,228,"लाल अपने रंग है!
हे भगवान! कोई भी बुरी नजर डाली सकता है! - क्या आप तक, माँ हैं?","____ अच्छे लग रहे हैं, आप नहीं हैं? आ जाओ! चले जाओ!","आप अच्छे लग रहे हैं, आप नहीं हैं? आ जाओ! चले जाओ!",आप
IndicDialogue,Om Jai Jagadish,1955489781,229,"हे भगवान! कोई भी बुरी नजर डाली सकता है! - क्या आप तक, माँ हैं?
आप अच्छे लग रहे हैं, आप नहीं हैं? आ जाओ! चले जाओ!","जाओ उसे ले कर आओ! आत्मविश्वास, ओम बत्रा! - ____ बहुत अच्छी लग रही हो!","जाओ उसे ले कर आओ! आत्मविश्वास, ओम बत्रा! - आप बहुत अच्छी लग रही हो!",आप
IndicDialogue,Om Jai Jagadish,1955489781,230,"आप अच्छे लग रहे हैं, आप नहीं हैं? आ जाओ! चले जाओ!
जाओ उसे ले कर आओ! आत्मविश्वास, ओम बत्रा! - आप बहुत अच्छी लग रही हो!","____ निश्चित रूप से महिला की जीत होगी! - भगवान तुम, मेरे बहादुर एक आशीर्वाद!","आप निश्चित रूप से महिला की जीत होगी! - भगवान तुम, मेरे बहादुर एक आशीर्वाद!",आप
IndicDialogue,Om Jai Jagadish,1955489781,232,"आप निश्चित रूप से महिला की जीत होगी! - भगवान तुम, मेरे बहादुर एक आशीर्वाद!
क्षमा कीजिय!",____ यहाँ शांति देख रहे हैं? - हाँ,आप यहाँ शांति देख रहे हैं? - हाँ,आप
IndicDialogue,Om Jai Jagadish,1955489781,238,"मैं ओम हूँ। - ओम! मैं शांति हूँ।
जब मैं अपने नाम सुना मैं चौंक गया था",लेकिन अगर ____ अपने नाम से काफी अलग हैं।,लेकिन अगर आप अपने नाम से काफी अलग हैं।,आप
IndicDialogue,Om Jai Jagadish,1955489781,239,"जब मैं अपने नाम सुना मैं चौंक गया था
लेकिन अगर आप अपने नाम से काफी अलग हैं।",____ भी क्या नहीं अपने नाम से पता चलता है (शांति: शांति),तुम भी क्या नहीं अपने नाम से पता चलता है (शांति: शांति),तुम
IndicDialogue,Om Jai Jagadish,1955489781,247,"यही कारण है कि एक रंगीन पोशाक है
यह बहुत अच्छा है!",____ एक फिल्म हीरो की तरह लग रहे,आप एक फिल्म हीरो की तरह लग रहे,आप
IndicDialogue,Om Jai Jagadish,1955489781,254,"हमारे फोटो
जब हम बच्चे थे",यदि ____ कभी भी पहली नजर में प्यार हो गया?,यदि आप कभी भी पहली नजर में प्यार हो गया?,आप
IndicDialogue,Om Jai Jagadish,1955489781,257,"क्या? मुझे अपने परिवार से प्यार है। - प्यारा!
संगीत बंद! मैं तो बस जीवन के लिए मेरे दोस्त को चुना है! और उसका नाम ओम है","____ क्या कर रहे हैं, शांति?","आप क्या कर रहे हैं, शांति?",आप
IndicDialogue,Om Jai Jagadish,1955489781,260,"उन्होंने कहा कि नए गायकों को बढ़ावा देता है
तो मुझे लगता है कि मैं उसके लिए गाती हूँ","""मैं ____ बता दूँ, मैं तुम्हें प्यार करता हूँ""","""मैं आपको बता दूँ, मैं तुम्हें प्यार करता हूँ""",आपको
IndicDialogue,Om Jai Jagadish,1955489781,261,"तो मुझे लगता है कि मैं उसके लिए गाती हूँ
""मैं आपको बता दूँ, मैं तुम्हें प्यार करता हूँ""",क्या मैं अपने ____ में उतरा है? इतनी बुरी तरह धुन से बाहर,क्या मैं अपने आप में उतरा है? इतनी बुरी तरह धुन से बाहर,आप
IndicDialogue,Om Jai Jagadish,1955489781,262,"""मैं आपको बता दूँ, मैं तुम्हें प्यार करता हूँ""
क्या मैं अपने आप में उतरा है? इतनी बुरी तरह धुन से बाहर","""मैं ____ प्यार करता हूँ!""","""मैं तुमसे प्यार करता हूँ!""",तुमसे
IndicDialogue,Om Jai Jagadish,1955489781,266,"ठीक है! ठीक है! ठीक है! ठीक है!
अगर मैं चाहिए, मैं चाहिए",मैं ____ प्यार करता हूँ। - हाँ!,मैं तुमसे प्यार करता हूँ। - हाँ!,तुमसे
IndicDialogue,Om Jai Jagadish,1955489781,268,"मैं तुमसे प्यार करता हूँ। - हाँ!
वाह!",'बकरा!' (____ बेवकूफ बनाया!) - तुम बेवकूफ बनाया!,'बकरा!' (आप बेवकूफ बनाया!) - तुम बेवकूफ बनाया!,आप
IndicDialogue,Om Jai Jagadish,1955489781,270,"'बकरा!' (आप बेवकूफ बनाया!) - तुम बेवकूफ बनाया!
हाय, मैं आशा कर रहा हूँ। शांति नहीं! वहाँ कैमरा है।",____ कैसा लगता है? - मैं एक बलि का बकरा तरह लग रहा है,आपको कैसा लगता है? - मैं एक बलि का बकरा तरह लग रहा है,आपको
IndicDialogue,Om Jai Jagadish,1955489781,282,"विषय कुछ अपनी पीढ़ी में विश्वास नहीं करता है
शादी","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,283,"शादी
""मैं तुम से शादी करेंगे""","""मैं ____ हमेशा के लिए होगा""","""मैं तुम्हारा हमेशा के लिए होगा""",तुम्हारा
IndicDialogue,Om Jai Jagadish,1955489781,287,"""मैं हमेशा से करना होगा, मैं कसम खाता हूँ""
""ओह, कैसे मैं चाहता हूँ ...""","""क्या ____ मुझे सब अपने जीवन के लिए प्यार करना चाहते हैं ...""","""क्या आप मुझे सब अपने जीवन के लिए प्यार करना चाहते हैं ...""",आप
IndicDialogue,Om Jai Jagadish,1955489781,289,"""क्या आप मुझे सब अपने जीवन के लिए प्यार करना चाहते हैं ...""
""अपार प्रेम""","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,290,"""अपार प्रेम""
""मैं तुम से शादी करेंगे""","""मैं ____ हमेशा के लिए होगा""","""मैं तुम्हारा हमेशा के लिए होगा""",तुम्हारा
IndicDialogue,Om Jai Jagadish,1955489781,294,"""मैं हमेशा से करना होगा, मैं कसम खाता हूँ""
""ओह, कैसे मैं चाहता हूँ ...""","""क्या ____ मुझे सब अपने जीवन के लिए प्यार करना चाहते हैं ...""","""क्या आप मुझे सब अपने जीवन के लिए प्यार करना चाहते हैं ...""",आप
IndicDialogue,Om Jai Jagadish,1955489781,296,"""क्या आप मुझे सब अपने जीवन के लिए प्यार करना चाहते हैं ...""
""अपार प्रेम""","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,297,"""अपार प्रेम""
""मैं तुम से शादी करेंगे""","""मैं ____ हमेशा के लिए होगा""","""मैं तुम्हारा हमेशा के लिए होगा""",तुम्हारा
IndicDialogue,Om Jai Jagadish,1955489781,299,"""मैं तुम्हारा हमेशा के लिए होगा""
""मेरी पहली रोमांस, मेरा पहला प्यार ...""","""____ बिना, मेरे प्यार जीवन की दयनीय""","""तुम्हारे बिना, मेरे प्यार जीवन की दयनीय""",तुम्हारे
IndicDialogue,Om Jai Jagadish,1955489781,303,"""मैं भी सीखा है रातों की नींद हराम जागृत करने के लिए कैसे""
""मेरा प्रेम, मेरी जान ...""","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,304,"""मेरा प्रेम, मेरी जान ...""
""मैं तुम से शादी करेंगे""","""मैं ____ हमेशा के लिए होगा""","""मैं तुम्हारा हमेशा के लिए होगा""",तुम्हारा
IndicDialogue,Om Jai Jagadish,1955489781,305,"""मैं तुम से शादी करेंगे""
""मैं तुम्हारा हमेशा के लिए होगा""","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,306,"""मैं तुम्हारा हमेशा के लिए होगा""
""मैं तुम से शादी करेंगे""","""मैं ____ हमेशा के लिए होगा""","""मैं तुम्हारा हमेशा के लिए होगा""",तुम्हारा
IndicDialogue,Om Jai Jagadish,1955489781,310,"""हर लड़की मेरे लिए पाइंस""
""दिन और रात, मैं अपने नाम का जाप मैं पाइन ...""","""मैं ____ मेरी बाहों में लेने के लिए मर रहा हूँ""","""मैं तुम मेरी बाहों में लेने के लिए मर रहा हूँ""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,312,"""मैं तुम मेरी बाहों में लेने के लिए मर रहा हूँ""
""तो फिर मुझे क्यों इस दूरी को बता?""","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,313,"""तो फिर मुझे क्यों इस दूरी को बता?""
""मैं तुम से शादी करेंगे""","""मैं ____ हमेशा के लिए होगा""","""मैं तुम्हारा हमेशा के लिए होगा""",तुम्हारा
IndicDialogue,Om Jai Jagadish,1955489781,314,"""मैं तुम से शादी करेंगे""
""मैं तुम्हारा हमेशा के लिए होगा""","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
IndicDialogue,Om Jai Jagadish,1955489781,315,"""मैं तुम्हारा हमेशा के लिए होगा""
""मैं तुम से शादी करेंगे""","""मैं ____ हमेशा के लिए होगा""","""मैं तुम्हारा हमेशा के लिए होगा""",तुम्हारा
IndicDialogue,Om Jai Jagadish,1955489781,316,"""मैं तुम से शादी करेंगे""
""मैं तुम्हारा हमेशा के लिए होगा""","""मैं ____ से शादी करेंगे""","""मैं तुम से शादी करेंगे""",तुम
